IncidentDuration,Severity
5940.0,2
7328.0,2
2680.0,2
7452.0,2
7952.0,2
8125.0,2
5564.0,2
2100.0,2
10856.0,2
6810.0,2
4833.0,2
7565.0,2
10800.0,2
10795.0,2
4437.0,2
5030.0,2
10319.0,2
5948.0,2
4667.0,2
8587.0,2
1762.0,2
1773.0,2
9740.0,2
3216.0,2
2689.0,2
2700.0,2
21983.0,2
18120.0,2
3904.0,2
1788.0,2
12012.0,2
1776.0,2
8114.0,2
5897.0,2
9781.0,2
4260.0,2
3600.0,2
4422.0,2
7723.0,2
3554.0,2
2660.0,2
7405.0,2
14683.0,2
7824.0,2
11114.0,2
6252.0,2
12329.0,2
5579.0,2
12618.0,2
10987.0,2
7193.0,2
2022.0,2
2749.0,2
5958.0,2
3587.0,2
1200.0,2
